num,DataColeta,Perfil,DataPost,DiaDaSemana,Plays,Curtidas,Comentarios,Compart.,Texto,LinkFoto,LinkVideo,LinkPost,ID,Duracao,Duração Classificada,Retórica Aristotélica,Dispositivo Retórico,Tipo de conteúdo,Abordagem,Tonalidade,Main character,Texto / Hashtag
1,2022-10-02,bolsonaromessiasjair,2022-06-30 00:00:00,quinta-feira,248400,24400,1083,1566,#jairbolsonaro #bolsonaro #palavras #presidente #brasil #🇧🇷 #deus #patria #familia #historia #curiosidades,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/eaa8509f91dc4c90ae7518a95439cec8~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=GxzIK1BJi8eAKjpatK3bMsrXiRM%3D,https://v16-webapp.tiktok.com/8608fb1f5b6ec3143f9730b2ae158583/6339a0b6/video/tos/useast2a/tos-useast2a-ve-0068c003/9fd5a147200e45d0b22036b724add049/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1458&bt=729&cs=0&ds=3&ft=gKSYZ8b6o0PD1PqZVyg9wuX2O5LiaQ2D~pT&mime_type=video_mp4&qs=0&rc=aTU8NWhoaDo6aGY6ZWY0OEBpM3lsPGg6ZnNxZDMzNzczM0A2MGItYzFfNjUxYi4wMjVfYSMuZ28zcjQwNnJgLS1kMTZzcw%3D%3D&l=2022100208302101019216806608910B53&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7114971700365692165,7114971700365692165,57.93,Curto,Pathos,Political Statement,Campaign Act,Acclamation,Neutral,Self alone,Hashtag
2,2022-10-02,lulaoficial,2022-06-30 00:00:00,quinta-feira,196800,11700,809,589,Alô alô geração tiktoker! Imagina só um #governo feito pensando no #futuro dos #jovens desse país? #VamosjuntospeloBrasil #lula,https://p77-sign-va.tiktokcdn.com/tos-maliva-p-0068/d301a9d69c754f71b16f3f623f359850_1656597820~tplv-dmt-logom:tos-useast2a-v-0068/14f62f28e39441d18dba2272c5f80437.image?x-expires=1664722800&x-signature=zx6mQNk3xF3XiRcM9A47tG1jslM%3D,https://v16-webapp.tiktok.com/475daebb6bc58abd04a1eb7acdedc6ba/6339a7b9/video/tos/useast2a/tos-useast2a-pve-0068/f2e32647e9124abd9ee859cd4e86ed7e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1882&bt=941&cs=0&ds=3&ft=gKSYZ8b6o0PD1tWMVyg9wtFE75LiaQ2D~j4&mime_type=video_mp4&qs=0&rc=OTplNjhpZjY1ZDxlaWRpZ0BpMzppdGk6Zmd0ZDMzNzczM0BhM2M2YWAuNWMxMjE0MjYyYSNya2JycjRfbnJgLS1kMTZzcw%3D%3D&l=202210020900560101901760491191F2CC&btag=80000,https://www.tiktok.com/@lulaoficial/video/7115033431473474822,7115033431473474822,17.3,Muito curto,Pathos,Political Statement,Political-Purposeful,Acclamation,Neutral,Self alone,Texto + Hashtag
3,2022-10-02,bolsonaromessiasjair,2022-06-30 00:00:00,quinta-feira,82000,9163,480,1140,#emprego #jair #bolsonaro #jairbolsonaro #presidente #brasil #🇧🇷 #deus #patria #familia #compartilhe,https://p77-sign-va.tiktokcdn.com/tos-maliva-p-0068/9b60a2e16dc84f48a5d87a8f62614fbb~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=atr8j%2B0a2jPnm4SB%2Bqg%2BOz%2BITzo%3D,https://v16-webapp.tiktok.com/7a2b039473df18237cd6b625dd8ddbb0/6339a08a/video/tos/useast2a/tos-useast2a-pve-0068/f7f0a0b60e474a7dab1e813d8a991868/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1928&bt=964&cs=0&ds=3&ft=gKSYZ8b6o0PD1gqZVyg9wo2~G5LiaQ2D~Xa&mime_type=video_mp4&qs=0&rc=PDM7Nzc6Ojs6OTk5aGc8aUBpajdnPDc6Zmd1ZDMzNzczM0AzYV4yYTM1XjUxYjReYy80YSMvZGxucjRnbXJgLS1kMTZzcw%3D%3D&l=20221002083017010190209214168FCAB2&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7115050482179050758,7115050482179050758,17.13,Muito curto,Logos,Fact/Statistic,Political-Purposeful,Acclamation,Positive,Self alone,Hashtag
4,2022-10-02,bolsonaromessiasjair,2022-06-30 00:00:00,quinta-feira,42300,3485,198,355,#jairbolsonaro #bolsonaro #jair #presidente #mt #mato #grosso #do #sul #tereza #cristina #terezacristina #ms #matogrossodosul #brasil #🇧🇷 #campogrande #campo #grande,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/fc61fba078de4d54ae2939f62602d858~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=2%2FyLEzppZQSEHRrMpIevv%2FyxBc0%3D,https://v16-webapp.tiktok.com/918f04a388855507ca96a8239bb8013d/6339a0aa/video/tos/useast2a/tos-useast2a-pve-0068/568f13a59bb344d49e68d35bc94f36b6/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2276&bt=1138&cs=0&ds=3&ft=ar5S8qGHmo0PDKy8jMaQ9geJzObpkV1PCQ&mime_type=video_mp4&qs=0&rc=ZjtkNjlnNWg3NmQ0Njc4NUBpM2hmdGc6Zmx5ZDMzNzczM0A2YzYuLl9iXzYxMTQtYGNhYSNjbW8ycjRna3JgLS1kMTZzcw%3D%3D&l=202210020830140102170952220E868789&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7115120078982630661,7115120078982630661,52.54,Curto,Ethos,Commitment,Political-Purposeful,Acclamation,Positive,Self + voters,Hashtag
5,2022-10-02,bolsonaromessiasjair,2022-06-30 00:00:00,quinta-feira,168500,22100,666,967,#jairbolsonaro #bolsonaro #brasil #descontracao #brasil #kkkk #🇧🇷 #jair,https://p77-sign-va.tiktokcdn.com/tos-maliva-p-0068/fb39ab7ca01544518c7dd2fde40a942e~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=3Dl2NO0w0NqYjRLMYrVs4mMeyUY%3D,https://v16-webapp.tiktok.com/bedd7a7b85b2a5c5bbd2b889a7a5aae2/6339a094/video/tos/useast2a/tos-useast2a-ve-0068c003/ea39b446aabe4ad491406e3305b9ab95/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1576&bt=788&cs=0&ds=3&ft=gKSYZ8b6o0PD1jqZVyg9wIYE75LiaQ2D~ra&mime_type=video_mp4&qs=0&rc=ZjY8O2c5OTRmOjY7aWY1aEBpamVuMzU6Zm01ZDMzNzczM0BiYzYuNWMvNTExNjMwYjMxYSNlMnFfcjRfL3NgLS1kMTZzcw%3D%3D&l=202210020830100102170950870D833470&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7115161088219565317,7115161088219565317,34.48,Curto,Nenhum,Humor,Personal,Acclamation,Positive,Self alone,Hashtag
6,2022-10-02,lulaoficial,2022-06-30 00:00:00,quinta-feira,522000,33600,3324,3973,Já imaginou um #governo feito pra que as pessoas possam ter #emprego #saneamentobasico #educação e #dignidade pra todo #brasileiro e #brasileira ? Vem com a gente! #juntospelobrasil #lula,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/bc6d5aca9541465186602e0b00a7f09e~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664722800&x-signature=Zsz5mbM%2BpjtUbzBsk4wdDJjA14k%3D,https://v16-webapp.tiktok.com/880297e668c30360cc84ac2dd2ef16b2/6339a7e1/video/tos/useast2a/tos-useast2a-pve-0068/3a25ad15c1a944a2914f6298ec8b4b0c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1342&bt=671&cs=0&ds=1&ft=gKSYZ8b6o0PD1SWMVyg9wwX2O5LiaQ2D~pT&mime_type=video_mp4&qs=0&rc=Z2VpaTNkOzY5Zzc3PDg1NUBpM3BtNDw6ZjU1ZDMzNzczM0AvNGAxY14yXmExLzIuY2FeYSM1ajY1cjRvbnNgLS1kMTZzcw%3D%3D&l=202210020900530101890740380E977BDC&btag=80000,https://www.tiktok.com/@lulaoficial/video/7115174031162215686,7115174031162215686,60.16,Normal,Pathos,Political Statement,Political-Purposeful,Acclamation,Neutral,Self alone,Texto + Hashtag
7,2022-10-02,bolsonaromessiasjair,2022-06-30 00:00:00,quinta-feira,1800000,115700,5390,53800,#combustiveis #gasolina #diesel #icms #senador #nordeste #pernambuco #maranhao #paraiba #piaui #bahia #sergipe #riograndedonorte #alagoas #ceara #pe #ma #pb #pi #ba #se #rn #al #ce #reducao #stf #brasil #🇧🇷 #presidente #jair #bolsonaro #jairbolsonaro #presidente #verdade #compartilhe,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/bea67f35e2674215a323d7b9cc6fbe1c~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=y9on74ExamcUXN9EEx52HwhMgy0%3D,https://v16-webapp.tiktok.com/90eff8b73ee05b814d1e4d682d67eff1/6339a0b1/video/tos/useast2a/tos-useast2a-ve-0068c004/2b26335a26b7449f93b82db7250b5eed/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C0%7C0&br=1124&bt=562&cs=0&ds=1&ft=gKSYZ8b6o0PD1nqZVyg9wNGEO5LiaQ2D~rT&mime_type=video_mp4&qs=0&rc=Zzk8OGg7NTs3O2Y8PGVmNUBpanNqbDs6ZnM3ZDMzNzczM0BgYzZeNC1eXi4xYy1fMTRgYSNxaWgvcjRva3NgLS1kMTZzcw%3D%3D&l=202210020830070102230870511C862246&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7115207919750253830,7115207919750253830,66.66,Normal,Logos,Fact/Statistic,Political-Purposeful,Attack,Negative,Self alone,Hashtag
8,2022-10-02,lulaoficial,2022-07-01 00:00:00,sexta-feira,427900,34600,2289,1752,O pai ta estourado!😎 marque nos comentários um amigo e uma amiga pra seguir também! #lulanotiktok #lula #vamosjuntospelobrasil,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/c77f895271574d6fa935ecda80f7b4e2_1656673253~tplv-dmt-logom:tos-useast2a-v-0068/672a9cb73cd84b25ad2850931652bdbb.image?x-expires=1664722800&x-signature=frZPcrQLJP5Q2ysQZFIR%2FClzL%2Bg%3D,https://v16-webapp.tiktok.com/7a4823d7cfe66293ffa98e6e617dc300/6339a7b0/video/tos/useast2a/tos-useast2a-ve-0068c002/1383e30ecbad4003b6c3f7a7cb244c7e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3590&bt=1795&cs=0&ds=3&ft=gKSYZ8b6o0PD11WMVyg9wpPE75LiaQ2D~Xa&mime_type=video_mp4&qs=0&rc=PDc1NTY3OmdnOTMzZDMzOkBpanN0czg6ZnBnZDMzNzczM0AzNGEuMjY1X2MxMy5fYGI0YSNibm9ncjRfNHNgLS1kMTZzcw%3D%3D&l=202210020900500102171352072392C711&btag=80000,https://www.tiktok.com/@lulaoficial/video/7115357413712153861,7115357413712153861,14.88,Muito curto,Ethos,Humor,Campaign Act,Acclamation,Positive,Self alone,Texto + Hashtag
9,2022-10-02,bolsonaromessiasjair,2022-07-01 00:00:00,sexta-feira,48200,3958,152,119,#jairbolsonaro #jair #bolsonaro #brasil #trigo #🇧🇷 #presidente #agro #agronegocio,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/3067327b5b834edf9f4f094084f4c38e~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=3TfMbQErqDOmczKC5MuC4lRvUxg%3D,https://v16-webapp.tiktok.com/c14396d70b9f24c81f33d29af747d159/6339a09c/video/tos/useast2a/tos-useast2a-ve-0068c004/ef61b981e6034fb08b699d9babe571db/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1764&bt=882&cs=0&ds=3&ft=gKSYZ8b6o0PD1_qZVyg9weC2O5LiaQ2D~h8&mime_type=video_mp4&qs=0&rc=N2Q8Mzs3ZDhmZzVmZzU2OUBpanl4OWU6Zm5pZDMzNzczM0A1NjFfLmBeNl8xYjFjYWJhYSMtZDNycjQwZ3NgLS1kMTZzcw%3D%3D&l=20221002083004010214029012278F33F7&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7115399262267051270,7115399262267051270,48.71,Curto,Ethos,Fact/Statistic,Political-Purposeful,Acclamation,Neutral,Self alone,Hashtag
10,2022-10-02,bolsonaromessiasjair,2022-07-01 00:00:00,sexta-feira,171900,11900,838,2417,#jairbolsonaro #bolsonaro #jair #bahia #brasil #🇧🇷 #patria #familia #ba #povo #presidente,https://p77-sign-va.tiktokcdn.com/tos-maliva-p-0068/264066dcd86748838b7fef0fea01834d~tplv-f5insbecw7-1:720:720.jpeg?x-expires=1664719200&x-signature=EiXQebVnzV0eyeGZFDHcxavU5Ms%3D,https://v16-webapp.tiktok.com/397cd336ff04f6e3fc37a1b3743d59d2/6339a0b2/video/tos/useast2a/tos-useast2a-ve-0068c002/2f2d0819704645b5a6ae41fc55dc3542/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1536&bt=768&cs=0&ds=1&ft=gKSYZ8b6o0PD1~qZVyg9wqF2O5LiaQ2D~MT&mime_type=video_mp4&qs=0&rc=OWlnZmVoMzM2aThnNjNkNEBpM3VxPDc6ZjxuZDMzNzczM0AtNTVjMC80Ni0xYS5eNl8wYSNxMC5lcjRfL3NgLS1kMTZzcw%3D%3D&l=2022100208300101022308301227894AC4&btag=80000,https://www.tiktok.com/@bolsonaromessiasjair/video/7115477908256214278,7115477908256214278,74.07,Normal,Pathos,Commitment,Campaign Act,Acclamation,Positive,Self + voters,Hashtag
